Unnamed: 0,m49_code,food_supply_stage_Harvest
75,108,True
1878,180,False
134,108,False
6654,324,True
1531,156,True
5397,270,False
11628,466,False
4920,24,False
9801,404,False
16212,646,True
2787,204,False
21297,800,True
11133,454,False
4922,24,False
19813,729,False
374,108,True
2397,204,False
64,108,True
6358,288,False
1342,148,False
21606,800,False
4808,24,False
3482,231,False
7913,356,False
1013,148,True
11469,454,True
14072,516,True
6430,288,False
21898,834,False
19853,729,False
5901,288,False
2852,204,False
18707,716,False
13556,508,False
97,108,False
19273,72,False
10434,426,True
19743,729,False
672,120,True
558,116,False
4292,232,True
6390,288,False
12543,478,True
16614,646,False
17958,706,False
268,108,False
10879,454,False
5555,270,False
21553,800,True
12860,50,False
12620,478,True
21333,800,False
5651,270,True
24629,854,False
22002,834,False
2429,204,False
17552,694,False
5894,288,False
3324,231,False
9921,404,False
1304,148,False
6406,288,False
20285,768,True
16993,686,False
1226,148,False
6183,288,False
24688,894,False
21834,834,False
20772,792,False
16007,624,False
25173,894,False
24564,854,False
6656,324,False
11901,466,True
24495,854,False
21784,826,False
3702,231,False
14324,524,False
15386,586,True
10377,426,True
11547,458,False
13285,504,False
16855,686,False
17622,694,False
8697,384,False
16683,646,True
4626,24,True
4597,24,False
1436,148,False
20355,768,False
9877,404,True
718,120,False
8634,384,False
9724,404,False
21024,800,False
12051,466,False
8408,36,False
16282,646,False
17386,686,False
2102,180,False
25276,894,False
5996,288,False
13260,50,True
22273,834,False
24989,894,True
6996,324,True
8843,384,False
20848,800,False
13399,508,False
17539,694,False
5587,270,False
25214,894,False
25258,894,False
719,120,False
9149,404,False
17012,686,False
22021,834,False
167,108,True
9329,404,True
3321,231,False
16553,646,False
2971,231,True
6211,288,False
22261,834,False
2427,204,False
12911,50,False
8891,384,False
25344,894,False
2715,204,False
15084,566,True
349,108,False
13149,50,False
9399,404,False
6004,288,False
11345,454,False
18856,716,False
2656,204,False
8669,384,False
20551,768,False
294,108,False
24336,854,False
21089,800,False
4927,24,False
13201,50,False
7645,356,True
13704,508,False
17247,686,False
11123,454,False
19348,72,True
6747,324,False
2146,180,False
19031,716,False
111,108,False
885,120,False
2120,180,False
12859,50,False
17993,706,False
22044,834,False
6637,324,False
9616,404,False
24781,894,False
21237,800,True
22181,834,False
10943,454,False
13276,504,False
21121,800,False
13278,504,True
1528,156,False
19482,72,False
318,108,False
24915,894,False
12496,478,False
15218,566,False
6239,288,False
5177,246,False
10095,410,True
21139,800,False
20917,800,False
24010,854,False
24792,894,False
11955,466,False
13130,50,True
21337,800,False
5902,288,False
5562,270,False
20981,800,False
12411,478,False
20875,800,False
7637,356,False
305,108,False
16718,646,False
17943,706,False
5470,270,False
11211,454,False
21291,800,True
14874,566,False
25175,894,False
353,108,False
19781,729,False
11757,466,True
11289,454,False
5089,24,False
11020,454,False
2199,204,False
700,120,False
25106,894,False
15095,566,True
4227,232,False
20597,768,False
15708,624,False
13961,516,False
12232,478,False
2054,180,False
416,108,True
690,120,False
8852,384,True
22193,834,True
20717,768,True
7794,356,False
1310,148,False
2564,204,False
1138,148,True
2110,180,False
4875,24,False
9975,404,True
23952,854,False
12451,478,False
7641,356,False
13467,508,False
8649,384,False
6363,288,False
5815,288,False
12912,50,False
554,116,False
19064,716,False
25054,894,False
11157,454,False
14071,516,False
4245,232,False
16067,624,False
12455,478,True
6352,288,False
20350,768,False
9354,404,False
14727,562,False
15486,586,False
2292,204,False
6326,288,False
6336,288,False
24775,894,False
5364,270,False
13976,516,False
15710,624,False
15613,624,True
6325,288,False
6083,288,False
21926,834,False
24675,894,False
22169,834,False
10534,430,False
5433,270,False
19902,729,True
2293,204,False
9809,404,False
2500,204,False
14136,516,False
9840,404,False
2704,204,False
24687,894,False
17287,686,False
88,108,True
18567,710,True
20564,768,False
8240,356,False
3726,231,False
17535,694,False
22163,834,True
13479,508,False
5923,288,False
3517,231,False
7449,356,False
20359,768,False
16198,646,False
14608,562,False
10541,430,True
14152,516,False
1282,148,False
15485,586,True
10535,430,True
12266,478,False
3253,231,False
855,120,False
19463,72,False
12452,478,True
6979,324,True
21593,800,False
7075,356,False
20518,768,False
16313,646,False
13125,50,False
721,120,True
9726,404,False
12414,478,False
502,108,False
3038,231,False
5349,270,True
13802,508,True
11242,454,False
671,120,False
24220,854,False
6410,288,False
1532,156,True
720,120,False
17318,686,False
7239,356,False
21921,834,False
17698,694,False
20381,768,False
12020,466,False
13814,508,False
15730,624,False
468,108,False
21200,800,False
20161,752,False
5337,270,False
14377,524,False
782,120,False
17079,686,False
22147,834,True
375,108,False
8777,384,False
8357,356,False
1275,148,False
13222,50,False
1447,148,False
16020,624,False
13205,50,False
13451,508,False
12162,466,False
7037,324,False
10675,450,False
24166,854,True
14637,562,False
12259,478,False
2398,204,False
3721,231,False
4060,232,False
4854,24,False
10890,454,False
12759,50,False
10596,450,False
1859,180,False
19012,716,False
1378,148,False
16990,686,False
13691,508,False
2620,204,False
13229,50,False
110,108,False
13790,508,False
5659,270,True
9145,404,False
17922,706,False
3168,231,False
13230,50,False
10711,450,False
13494,508,False
1913,180,False
10522,430,False
7915,356,False
20549,768,False
2789,204,False
10187,426,False
21968,834,False
5289,270,False
25141,894,False
3153,231,False
16636,646,False
9739,404,False
9896,404,False
684,120,False
9836,404,False
6090,288,False
24290,854,True
13492,508,False
21218,800,False
6457,288,False
5580,270,False
788,120,True
2411,204,True
4660,24,False
24709,894,False
14280,516,False
3579,231,False
14745,562,False
1298,148,False
22166,834,False
11995,466,True
21588,800,False
14601,562,False
14233,516,False
14086,516,False
1842,180,True
19385,72,False
12672,484,False
774,120,False
2997,231,False
21039,800,False
20778,800,False
5481,270,False
17490,686,False
14939,566,False
1836,180,False
10452,430,False
21838,834,False
13161,50,True
11087,454,False
8234,356,False
8700,384,False
4783,24,False
12588,478,False
25225,894,False
1333,148,False
8644,384,False
21327,800,False
13289,504,False
18899,716,False
1120,148,True
10843,454,False
10219,426,False
10565,450,False
12454,478,False
8899,384,True
20692,768,False
1968,180,False
9862,404,True
1488,148,False
2657,204,True
12385,478,False
10379,426,False
12212,478,False
12900,50,False
21685,818,False
25089,894,False
1662,156,False
3381,231,False
16360,646,True
1103,148,False
5155,246,False
14463,562,False
15136,566,True
7292,356,False
4465,24,False
613,120,True
19522,72,False
5805,288,False
12895,50,True
8465,360,False
8603,384,False
15134,566,False
18582,710,False
17485,686,False
777,120,True
18320,710,True
18802,716,False
7359,356,False
9126,404,False
2067,180,False
10521,430,False
14025,516,False
9022,400,False
5220,270,False
4054,232,False
16942,686,False
8735,384,False
9185,404,True
19049,716,False
11472,454,False
21499,800,False
21010,800,False
5346,270,False
637,120,False
2630,204,False
12004,466,False
13114,50,False
18050,706,False
9416,404,False
16426,646,False
16028,624,False
1402,148,False
4859,24,False
18822,716,True
25327,894,False
12891,50,False
4411,24,False
3620,231,False
6456,288,True
19214,72,True
10896,454,False
11477,454,False
6519,288,False
24829,894,True
12435,478,False
17333,686,False
199,108,True
292,108,False
22328,834,False
19329,72,False
11403,454,False
20566,768,False
22190,834,False
14884,566,False
2045,180,False
386,108,False
2970,231,False
24132,854,False
